,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
0,2017-01-03,2017,1,3,Tuesday,1,2017-01,26.1,26.59,24.84,25.5,150199600,25.15,0.0,25.15,25.15,short,-1.3539651837524218,False
1,2017-01-04,2017,1,4,Wednesday,1,2017-01,25.85,26.38,25.38,26.1,119922000,25.74,0.0233309505684853,25.445,25.445,Long,0.11338624691522625,False
2,2017-01-05,2017,1,5,Thursday,1,2017-01,26.13,26.45,25.26,25.43,98429600,25.09,-0.0253856042083535,25.326666666666664,25.326666666666664,short,-1.0755596226248798,False
3,2017-01-06,2017,1,6,Friday,1,2017-01,25.71,26.06,25.3,25.77,82285600,25.42,0.0133673649840559,25.35,25.35,Long,0.4169664244648459,False
4,2017-01-09,2017,1,9,Monday,2,2017-02,25.88,27.0,25.88,26.82,91624800,26.45,0.0405431208343096,25.57,25.57,Long,0.4755073684731599,False
5,2017-01-10,2017,1,10,Tuesday,2,2017-02,26.95,27.3,26.41,26.62,88092000,26.25,-0.007550404104561,25.683333333333334,25.683333333333334,short,0.44638340483083994,False
6,2017-01-11,2017,1,11,Wednesday,2,2017-02,26.5,26.55,26.04,26.29,52566400,25.93,-0.0123038936405387,25.71857142857143,25.71857142857143,short,0.8739533878284931,False
7,2017-01-12,2017,1,12,Thursday,2,2017-02,26.06,26.17,25.41,25.86,62561600,25.51,-0.0163559553238263,25.6925,25.6925,short,-0.15428057455773114,False
8,2017-01-13,2017,1,13,Friday,2,2017-02,25.9,26.25,25.76,25.86,45782000,25.5,-9.654048553509044e-05,25.67111111111111,25.67111111111111,short,0.4260840023174097,False
9,2017-01-17,2017,1,17,Tuesday,3,2017-03,25.75,25.8,25.14,25.28,58061200,24.93,-0.0224305916453979,25.597,25.597,short,0.8793720909759344,False
10,2017-01-18,2017,1,18,Wednesday,3,2017-03,25.06,25.81,24.78,25.74,65442400,25.39,0.018197807275573,25.578181818181815,25.578181818181815,Long,0.11777138408493215,False
11,2017-01-19,2017,1,19,Thursday,3,2017-03,25.77,26.61,25.75,26.29,64487200,25.93,0.0214666742703832,25.6075,25.6075,Long,0.8850548632050135,False
12,2017-01-20,2017,1,20,Friday,3,2017-03,26.52,26.7,25.78,26.0,49202400,25.65,-0.0109355750027565,25.61076923076923,25.61076923076923,short,0.19662942927197946,False
13,2017-01-23,2017,1,23,Monday,4,2017-04,25.95,26.48,25.92,26.27,36990400,25.91,0.0103835116795543,25.63214285714286,25.63214285714286,Long,0.4281386887840739,False
14,2017-01-24,2017,1,24,Tuesday,4,2017-04,26.38,26.9,26.23,26.83,42805200,26.47,0.0213152746611975,25.72642857142857,25.688,Long,1.6455624309129178,False
15,2017-01-25,2017,1,25,Wednesday,4,2017-04,27.26,27.33,26.58,26.95,52276000,26.58,0.0042856753682707,25.78642857142857,25.74375,short,-0.1159981516024402,False
16,2017-01-26,2017,1,26,Thursday,4,2017-04,26.98,27.49,26.67,27.41,45880000,27.04,0.0172557687869501,25.925714285714285,25.82,Long,0.266120044993329,False
