Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-03,2017,1,3,Tuesday,01,2017-01,225.04,225.83,223.88,225.24,91366500,203.79,0.0,203.79,203.79
2017-01-04,2017,1,4,Wednesday,01,2017-01,225.62,226.75,225.61,226.58,78744400,205.0,0.00594918001289968,204.39499999999998,204.39499999999998
2017-01-05,2017,1,5,Thursday,01,2017-01,226.27,226.58,225.48,226.4,78379000,204.84,-0.000794646304984048,204.54333333333332,204.54333333333332
2017-01-06,2017,1,6,Friday,01,2017-01,226.53,227.75,225.9,227.21,71559900,205.57,0.00357785830876578,204.8,204.8
2017-01-09,2017,1,9,Monday,02,2017-02,226.91,227.07,226.42,226.46,46939700,204.89,-0.0033007077801782136,204.81799999999998,204.81799999999998
2017-01-10,2017,1,10,Tuesday,02,2017-02,226.48,227.45,226.01,226.46,63771900,204.89,0.0,204.83,204.83
2017-01-11,2017,1,11,Wednesday,02,2017-02,226.36,227.1,225.59,227.1,74650000,205.47,0.002825855088333995,204.92142857142858,204.92142857142858
2017-01-12,2017,1,12,Thursday,02,2017-02,226.5,226.75,224.96,226.53,72113200,204.96,-0.0025097025866905875,204.92624999999998,204.92624999999998
2017-01-13,2017,1,13,Friday,02,2017-02,226.73,227.4,226.69,227.05,62717900,205.43,0.002295423506828209,204.98222222222222,204.98222222222222
2017-01-17,2017,1,17,Tuesday,03,2017-03,226.31,226.78,225.8,226.25,61240800,204.7,-0.003523344665320116,204.954,204.954
2017-01-18,2017,1,18,Wednesday,03,2017-03,226.54,226.8,225.9,226.75,54793300,205.15,0.002209783395756837,204.97181818181818,204.97181818181818
2017-01-19,2017,1,19,Thursday,03,2017-03,226.84,227.0,225.41,225.91,66608800,204.39,-0.0037043546416222206,204.92333333333332,204.92333333333332
2017-01-20,2017,1,20,Friday,03,2017-03,226.7,227.31,225.97,226.74,129168600,205.15,0.0036740822185170607,204.94076923076923,204.94076923076923
2017-01-23,2017,1,23,Monday,04,2017-04,226.74,226.81,225.27,226.15,75061600,204.61,-0.0026021248851845202,204.91714285714286,204.91714285714286
2017-01-24,2017,1,24,Tuesday,04,2017-04,226.4,228.08,226.27,227.6,95555300,205.92,0.006411540907868218,205.0692857142857,204.98399999999998
2017-01-25,2017,1,25,Wednesday,04,2017-04,228.7,229.57,228.51,229.57,84437700,207.71,0.008655401386014283,205.26285714285714,205.154375
2017-01-26,2017,1,26,Thursday,04,2017-04,229.4,229.71,229.01,229.33,59970700,207.49,-0.0010453126005531832,205.45214285714286,205.29176470588234
2017-01-27,2017,1,27,Friday,04,2017-04,229.42,229.59,228.76,228.97,59711100,207.16,-0.0015697934845702033,205.56571428571428,205.39555555555555
2017-01-30,2017,1,30,Monday,05,2017-05,228.17,228.2,226.41,227.55,79737300,205.88,-0.006201690391151038,205.63642857142855,205.42105263157896
2017-01-31,2017,1,31,Tuesday,05,2017-05,226.98,227.6,226.32,227.53,75880800,205.86,-8.797530287929511e-05,205.7057142857143,205.44299999999998
2017-02-01,2017,2,1,Wednesday,05,2017-05,227.53,228.59,226.94,227.62,79117700,205.94,0.0003955160224013987,205.73928571428573,205.46666666666667
2017-02-02,2017,2,2,Thursday,05,2017-05,227.62,228.1,226.82,227.77,69657600,206.08,0.0006590562403550049,205.81928571428574,205.49454545454546
2017-02-03,2017,2,3,Friday,05,2017-05,228.82,229.55,228.46,229.34,80563200,207.5,0.006892986373592258,205.96714285714285,205.58173913043478
2017-02-06,2017,2,6,Monday,06,2017-06,228.87,229.33,228.54,228.93,57790100,207.13,-0.001787615747549709,206.1407142857143,205.64625
2017-02-07,2017,2,7,Tuesday,06,2017-06,229.38,229.66,228.72,228.94,57931200,207.14,4.368565160617344e-05,206.28285714285715,205.706
2017-02-08,2017,2,8,Wednesday,06,2017-06,228.94,229.39,228.31,229.24,51566200,207.41,0.0013102176349135686,206.49857142857144,205.77153846153848
2017-02-09,2017,2,9,Thursday,06,2017-06,229.24,230.95,229.24,230.6,65955200,208.64,0.005932626724923784,206.74785714285713,205.87777777777777
2017-02-10,2017,2,10,Friday,06,2017-06,231.0,231.77,230.62,231.51,66015900,209.46,0.003946312769366855,207.0942857142857,206.00571428571428
2017-02-13,2017,2,13,Monday,07,2017-07,232.08,233.07,232.05,232.77,55182100,210.6,0.005442321971899755,207.42857142857142,206.1641379310345
2017-02-14,2017,2,14,Tuesday,07,2017-07,232.56,233.71,232.16,233.7,71109000,211.44,0.0039955261352084825,207.695,206.34
2017-02-15,2017,2,15,Wednesday,07,2017-07,233.45,235.14,233.39,234.92,86785800,212.55,0.005220362755999908,208.05642857142857,206.54032258064515
2017-02-16,2017,2,16,Thursday,07,2017-07,234.95,235.16,233.85,234.72,84722400,212.37,-0.0008512916042029417,208.42857142857142,206.7225
2017-02-17,2017,2,17,Friday,07,2017-07,233.95,235.09,233.93,235.09,77204100,212.7,0.0015762097447513668,208.9157142857143,206.90363636363637
2017-02-21,2017,2,21,Tuesday,08,2017-08,235.52,236.69,235.51,236.49,88946100,213.97,0.005955378173149839,209.49499999999998,207.1114705882353
2017-02-22,2017,2,22,Wednesday,08,2017-08,236.02,236.54,235.83,236.28,62115200,213.78,-0.0008881430408066437,210.055,207.302
2017-02-23,2017,2,23,Thursday,08,2017-08,236.88,236.9,235.56,236.44,74615900,213.92,0.0006772275525974703,210.61499999999998,207.48583333333332
2017-02-24,2017,2,24,Friday,08,2017-08,235.46,236.79,235.41,236.74,82381600,214.19,0.00126872831153646,211.09285714285713,207.66702702702705
2017-02-27,2017,2,27,Monday,09,2017-09,236.64,237.31,236.35,237.11,56515400,214.53,0.0015628320385838723,211.6214285714286,207.84763157894736
2017-02-28,2017,2,28,Tuesday,09,2017-09,236.67,236.95,236.02,236.47,96961900,213.95,-0.0026990011931625757,212.1078571428571,208.00410256410257
2017-03-01,2017,3,1,Wednesday,09,2017-09,238.39,240.32,238.37,239.78,149158200,216.94,0.013997460583087484,212.78857142857143,208.22750000000002
2017-03-02,2017,3,2,Thursday,09,2017-09,239.56,239.57,238.21,238.27,70246000,215.58,-0.006297409575404922,213.28428571428572,208.40682926829268
2017-03-03,2017,3,3,Friday,09,2017-09,238.17,238.61,237.73,238.42,81974300,215.71,0.0006295274269116913,213.7307142857143,208.58071428571427
2017-03-06,2017,3,6,Monday,10,2017-10,237.5,238.12,237.01,237.71,55391500,215.07,-0.002977940365080145,214.05,208.7316279069767
2017-03-07,2017,3,7,Tuesday,10,2017-10,237.36,237.77,236.76,237.0,65103700,214.43,-0.002986693085766823,214.26357142857142,208.86113636363635
2017-03-08,2017,3,8,Wednesday,10,2017-10,237.34,237.64,236.4,236.56,78168800,214.03,-0.0018567176431442123,214.36928571428572,208.976
2017-03-09,2017,3,9,Thursday,10,2017-10,236.7,237.24,235.74,236.86,90683900,214.3,0.0012681561346303827,214.50714285714284,209.09173913043477
2017-03-10,2017,3,10,Friday,10,2017-10,237.97,238.02,236.59,237.69,81991700,215.05,0.0035041595072560217,214.67499999999998,209.2185106382979
2017-03-13,2017,3,13,Monday,11,2017-11,237.62,237.86,237.24,237.81,57256800,215.16,0.0005049076656138407,214.76,209.34229166666668
2017-03-14,2017,3,14,Tuesday,11,2017-11,237.18,237.24,236.19,236.9,59880800,214.34,-0.003826525365756339,214.79999999999998,209.4442857142857
2017-03-15,2017,3,15,Wednesday,11,2017-11,237.56,239.44,237.29,238.95,96081800,216.19,0.008653414561653694,214.96214285714288,209.5792
2017-03-16,2017,3,16,Thursday,11,2017-11,239.11,239.2,238.1,238.48,78344000,215.77,-0.0019669859175128757,215.07500000000002,209.81879999999998
2017-03-17,2017,3,17,Friday,11,2017-11,237.75,237.97,237.03,237.03,89002100,215.39,-0.0017563017003136006,215.13642857142855,210.0266
