,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
0,2017-01-03,2017,1,3,Tuesday,1,2017-01,225.04,225.83,223.88,225.24,91366500,203.79,0.0,203.79,203.79,Long,0.16870893269400256,False
1,2017-01-04,2017,1,4,Wednesday,1,2017-01,225.62,226.75,225.61,226.58,78744400,205.0,0.0059491800128996,204.395,204.395,Long,-0.13704784080296406,False
2,2017-01-05,2017,1,5,Thursday,1,2017-01,226.27,226.58,225.48,226.4,78379000,204.84,-0.000794646304984,204.5433333333333,204.5433333333333,Long,0.05743867465523067,False
3,2017-01-06,2017,1,6,Friday,1,2017-01,226.53,227.75,225.9,227.21,71559900,205.57,0.0035778583087657,204.8,204.8,Long,-0.13215408621964286,False
4,2017-01-09,2017,1,9,Monday,2,2017-02,226.91,227.07,226.42,226.46,46939700,204.89,-0.0033007077801782,204.818,204.818,short,-0.008826999795147117,False
5,2017-01-10,2017,1,10,Tuesday,2,2017-02,226.48,227.45,226.01,226.46,63771900,204.89,0.0,204.83,204.83,short,0.04415449667808957,False
6,2017-01-11,2017,1,11,Wednesday,2,2017-02,226.36,227.1,225.59,227.1,74650000,205.47,0.0028258550883339,204.92142857142855,204.92142857142855,Long,-0.26418037827531293,False
7,2017-01-12,2017,1,12,Thursday,2,2017-02,226.5,226.75,224.96,226.53,72113200,204.96,-0.0025097025866905,204.92625,204.92625,Long,0.0880484640435526,False
8,2017-01-13,2017,1,13,Friday,2,2017-02,226.73,227.4,226.69,227.05,62717900,205.43,0.0022954235068282,204.98222222222225,204.98222222222225,Long,-0.32532016971858013,False
9,2017-01-17,2017,1,17,Tuesday,3,2017-03,226.31,226.78,225.8,226.25,61240800,204.7,-0.0035233446653201,204.954,204.954,short,-0.12736089925419947,False
10,2017-01-18,2017,1,18,Wednesday,3,2017-03,226.54,226.8,225.9,226.75,54793300,205.15,0.0022097833957568,204.97181818181815,204.97181818181815,Long,0.03943863910677692,False
