,sepal -length,sepal -width,petal -length,petal -width,Q5_1_2_3,Q5_1_2_4,Q5_1_3_4,Q5_2_3_4,Ture_lable
141,6.9,3.1,5.1,2.3,1,1,1,1,1
143,6.8,3.2,5.9,2.3,1,1,1,1,1
77,6.7,3.0,5.0,1.7,1,1,1,1,0
144,6.7,3.3,5.7,2.5,1,1,1,1,1
60,5.0,2.0,3.5,1.0,0,0,0,0,0
81,5.5,2.4,3.7,1.0,0,0,0,0,0
117,7.7,3.8,6.7,2.2,1,1,1,1,1
79,5.7,2.6,3.5,1.0,0,0,0,0,0
58,6.6,2.9,4.6,1.3,0,0,0,0,0
84,5.4,3.0,4.5,1.5,0,0,0,0,0
129,7.2,3.0,5.8,1.6,1,1,1,1,1
124,6.7,3.3,5.7,2.1,1,1,1,1,1
149,5.9,3.0,5.1,1.8,1,1,1,1,1
95,5.7,3.0,4.2,1.2,0,0,0,0,0
123,6.3,2.7,4.9,1.8,0,0,0,0,1
137,6.4,3.1,5.5,1.8,1,1,1,1,1
57,4.9,2.4,3.3,1.0,0,0,0,0,0
122,7.7,2.8,6.7,2.0,1,1,1,1,1
105,7.6,3.0,6.6,2.1,1,1,1,1,1
74,6.4,2.9,4.3,1.3,0,0,0,0,0
107,7.3,2.9,6.3,1.8,1,1,1,1,1
115,6.4,3.2,5.3,2.3,1,1,1,1,1
113,5.7,2.5,5.0,2.0,1,1,0,1,1
65,6.7,3.1,4.4,1.4,0,0,1,0,0
127,6.1,3.0,4.9,1.8,0,1,0,1,1
111,6.4,2.7,5.3,1.9,1,1,1,1,1
148,6.2,3.4,5.4,2.3,1,1,1,1,1
99,5.7,2.8,4.1,1.3,0,0,0,0,0
110,6.5,3.2,5.1,2.0,1,1,1,1,1
131,7.9,3.8,6.4,2.0,1,1,1,1,1
108,6.7,2.5,5.8,1.8,1,1,1,1,1
59,5.2,2.7,3.9,1.4,0,0,0,0,0
87,6.3,2.3,4.4,1.3,0,0,0,0,0
147,6.5,3.0,5.2,2.0,1,1,1,1,1
90,5.5,2.6,4.4,1.2,0,0,0,0,0
145,6.7,3.0,5.2,2.3,1,1,1,1,1
97,6.2,2.9,4.3,1.3,0,0,0,0,0
53,5.5,2.3,4.0,1.3,0,0,0,0,0
88,5.6,3.0,4.1,1.3,0,0,0,0,0
69,5.6,2.5,3.9,1.1,0,0,0,0,0
140,6.7,3.1,5.6,2.4,1,1,1,1,1
62,6.0,2.2,4.0,1.0,0,0,0,0,0
98,5.1,2.5,3.0,1.1,0,0,0,0,0
91,6.1,3.0,4.6,1.4,0,0,0,0,0
120,6.9,3.2,5.7,2.3,1,1,1,1,1
103,6.3,2.9,5.6,1.8,1,1,0,1,1
116,6.5,3.0,5.5,1.8,1,1,1,1,1
68,6.2,2.2,4.5,1.5,0,0,0,0,0
67,5.8,2.7,4.1,1.0,0,0,0,0,0
119,6.0,2.2,5.0,1.5,0,0,0,0,1
