Item,Year,Month,Day,Weekday,Period,Hour,Min,Sec,Transaction,Item_Price,Q4_label,0
Adjustment,2016,11,9,Wednesday,evening,19,49,22,938,2.91,food,1
Afternoon with the baker,2017,3,5,Sunday,evening,18,54,16,7666,1.9,food,2
Afternoon with the baker,2017,4,8,Saturday,morning,10,44,44,9579,1.9,food,1
Afternoon with the baker,2017,4,8,Saturday,morning,10,43,56,9578,1.9,food,1
Afternoon with the baker,2017,3,19,Sunday,evening,18,33,0,8455,1.9,food,1
Afternoon with the baker,2017,3,18,Saturday,morning,10,45,13,8342,1.9,food,1
Afternoon with the baker,2017,3,13,Monday,morning,10,31,52,8065,1.9,food,1
Afternoon with the baker,2017,3,13,Monday,afternoon,14,3,20,8093,1.9,food,1
Afternoon with the baker,2017,3,13,Monday,afternoon,14,4,18,8094,1.9,food,1
Afternoon with the baker,2017,3,6,Monday,afternoon,16,46,23,7716,1.9,food,1
Afternoon with the baker,2017,1,16,Monday,morning,9,34,13,4773,1.9,food,1
Afternoon with the baker,2017,1,22,Sunday,morning,9,55,12,5120,1.9,food,1
Afternoon with the baker,2017,1,22,Sunday,afternoon,12,10,6,5146,1.9,food,1
Afternoon with the baker,2017,1,21,Saturday,morning,11,19,6,5046,1.9,food,1
Afternoon with the baker,2017,1,21,Saturday,afternoon,14,35,44,5088,1.9,food,1
Afternoon with the baker,2017,1,21,Saturday,afternoon,12,32,49,5064,1.9,food,1
Afternoon with the baker,2017,1,20,Friday,morning,8,51,2,4949,1.9,food,1
Afternoon with the baker,2017,1,14,Saturday,evening,18,16,42,4725,1.9,food,1
Afternoon with the baker,2017,2,10,Friday,afternoon,13,27,38,6334,1.9,food,1
Afternoon with the baker,2017,1,14,Saturday,evening,18,16,4,4724,1.9,food,1
Afternoon with the baker,2017,1,14,Saturday,evening,18,15,52,4723,1.9,food,1
Afternoon with the baker,2017,1,11,Wednesday,afternoon,14,51,56,4541,1.9,food,1
Afternoon with the baker,2017,1,11,Wednesday,afternoon,14,15,37,4534,1.9,food,1
Afternoon with the baker,2017,1,8,Sunday,afternoon,15,28,34,4405,1.9,food,1
Afternoon with the baker,2017,1,7,Saturday,afternoon,13,19,7,4322,1.9,food,1
Afternoon with the baker,2017,2,3,Friday,afternoon,14,55,2,5875,1.9,food,1
Afternoon with the baker,2017,2,11,Saturday,afternoon,17,0,15,6429,1.9,food,1
Afternoon with the baker,2017,3,5,Sunday,evening,18,56,39,7667,1.9,food,1
Afternoon with the baker,2017,2,19,Sunday,evening,18,40,23,6889,1.9,food,1
Afternoon with the baker,2017,3,5,Sunday,evening,18,52,38,7665,1.9,food,1
Afternoon with the baker,2017,3,5,Sunday,evening,18,51,49,7664,1.9,food,1
Afternoon with the baker,2017,3,5,Sunday,evening,18,51,22,7663,1.9,food,1
Afternoon with the baker,2017,3,3,Friday,afternoon,15,54,6,7509,1.9,food,1
Afternoon with the baker,2017,3,3,Friday,afternoon,14,34,31,7499,1.9,food,1
Afternoon with the baker,2017,2,24,Friday,morning,8,28,3,7078,1.9,food,1
Afternoon with the baker,2017,2,19,Sunday,evening,18,23,31,6888,1.9,food,1
Afternoon with the baker,2017,2,12,Sunday,evening,18,35,27,6481,1.9,food,1
Afternoon with the baker,2017,2,18,Saturday,afternoon,12,7,36,6786,1.9,food,1
Afternoon with the baker,2017,2,16,Thursday,afternoon,15,21,44,6664,1.9,food,1
Afternoon with the baker,2017,2,16,Thursday,afternoon,14,10,19,6655,1.9,food,1
