Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-01-03,2017,1,3,Tuesday,01,2017-01,26.1,26.59,24.84,25.5,150199600,25.15,0.0,25.15,25.15
2017-01-04,2017,1,4,Wednesday,01,2017-01,25.85,26.38,25.38,26.1,119922000,25.74,0.02333095056848533,25.445,25.445
2017-01-05,2017,1,5,Thursday,01,2017-01,26.13,26.45,25.26,25.43,98429600,25.09,-0.025385604208353563,25.326666666666664,25.326666666666664
2017-01-06,2017,1,6,Friday,01,2017-01,25.71,26.06,25.3,25.77,82285600,25.42,0.013367364984055996,25.35,25.35
2017-01-09,2017,1,9,Monday,02,2017-02,25.88,27.0,25.88,26.82,91624800,26.45,0.040543120834309665,25.57,25.57
2017-01-10,2017,1,10,Tuesday,02,2017-02,26.95,27.3,26.41,26.62,88092000,26.25,-0.007550404104561093,25.683333333333334,25.683333333333334
2017-01-11,2017,1,11,Wednesday,02,2017-02,26.5,26.55,26.04,26.29,52566400,25.93,-0.012303893640538743,25.71857142857143,25.71857142857143
2017-01-12,2017,1,12,Thursday,02,2017-02,26.06,26.17,25.41,25.86,62561600,25.51,-0.016355955323826388,25.6925,25.6925
2017-01-13,2017,1,13,Friday,02,2017-02,25.9,26.25,25.76,25.86,45782000,25.5,-9.654048553509043e-05,25.67111111111111,25.67111111111111
2017-01-17,2017,1,17,Tuesday,03,2017-03,25.75,25.8,25.14,25.28,58061200,24.93,-0.022430591645397957,25.597,25.597
2017-01-18,2017,1,18,Wednesday,03,2017-03,25.06,25.81,24.78,25.74,65442400,25.39,0.018197807275573075,25.578181818181818,25.578181818181818
2017-01-19,2017,1,19,Thursday,03,2017-03,25.77,26.61,25.75,26.29,64487200,25.93,0.02146667427038329,25.6075,25.6075
2017-01-20,2017,1,20,Friday,03,2017-03,26.52,26.7,25.78,26.0,49202400,25.65,-0.010935575002756548,25.61076923076923,25.61076923076923
2017-01-23,2017,1,23,Monday,04,2017-04,25.95,26.48,25.92,26.27,36990400,25.91,0.010383511679554314,25.63214285714286,25.63214285714286
2017-01-24,2017,1,24,Tuesday,04,2017-04,26.38,26.9,26.23,26.83,42805200,26.47,0.021315274661197536,25.726428571428574,25.688
2017-01-25,2017,1,25,Wednesday,04,2017-04,27.26,27.33,26.58,26.95,52276000,26.58,0.004285675368270736,25.78642857142857,25.74375
2017-01-26,2017,1,26,Thursday,04,2017-04,26.98,27.49,26.67,27.41,45880000,27.04,0.01725576878695012,25.925714285714285,25.82
2017-01-27,2017,1,27,Friday,04,2017-04,27.48,27.97,27.21,27.94,47199600,27.56,0.019334270211226467,26.07857142857143,25.916666666666668
2017-01-30,2017,1,30,Monday,05,2017-05,27.73,27.75,26.98,27.5,49600400,27.13,-0.015657056637786604,26.127142857142854,25.980526315789472
2017-01-31,2017,1,31,Tuesday,05,2017-05,27.24,27.51,27.05,27.3,36275600,26.92,-0.007635085169488964,26.175,26.027499999999996
2017-02-01,2017,2,1,Wednesday,05,2017-05,27.65,28.53,27.47,28.49,59000400,28.1,0.04368951780024921,26.330000000000002,26.126190476190477
2017-02-02,2017,2,2,Thursday,05,2017-05,28.33,28.93,28.01,28.85,48324000,28.45,0.012636991820303756,26.539999999999996,26.231818181818184
