Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-04-18,2019,4,18,Thursday,15,2019-15,65.0,66.0,60.32,62.0,25764700,62.0,0.0,62.0,62.0
2019-04-22,2019,4,22,Monday,16,2019-16,61.0,68.9,59.94,65.7,9949700,65.7,0.0596773701329385,63.85,63.85
2019-04-23,2019,4,23,Tuesday,16,2019-16,66.87,74.17,65.55,69.0,6786500,69.0,0.05022835928527547,65.56666666666666,65.56666666666666
2019-04-24,2019,4,24,Wednesday,16,2019-16,71.4,71.5,63.16,63.2,4973500,63.2,-0.08405795995739918,64.975,64.975
2019-04-25,2019,4,25,Thursday,16,2019-16,64.74,66.85,62.6,65.0,3863300,65.0,0.028481000242583265,64.97999999999999,64.97999999999999
2019-04-26,2019,4,26,Friday,16,2019-16,66.12,66.99,63.6,66.22,1527400,66.22,0.018769249549278832,65.18666666666667,65.18666666666667
2019-04-29,2019,4,29,Monday,17,2019-17,66.53,68.5,64.75,68.17,1822300,68.17,0.029447250261187552,65.61285714285715,65.61285714285715
2019-04-30,2019,4,30,Tuesday,17,2019-17,68.4,72.52,66.67,72.47,4113100,72.47,0.06307764657850123,66.47,66.47
2019-05-01,2019,5,1,Wednesday,17,2019-17,72.72,76.95,70.82,72.76,3301900,72.76,0.004001668423382121,67.16888888888889,67.16888888888889
2019-05-02,2019,5,2,Thursday,17,2019-17,72.75,75.89,69.69,75.5,2525300,75.5,0.03765802341016089,68.002,68.002
2019-05-03,2019,5,3,Friday,17,2019-17,75.0,80.25,75.0,79.18,2590300,79.18,0.04874172589636805,69.01818181818182,69.01818181818182
2019-05-06,2019,5,6,Monday,18,2019-18,75.01,80.79,74.5,78.24,2051800,78.24,-0.01187171555674782,69.78666666666668,69.78666666666668
2019-05-07,2019,5,7,Tuesday,18,2019-18,77.85,78.05,73.25,73.33,1975200,73.33,-0.06275557472872206,70.05923076923077,70.05923076923077
